SYMBOL
ICICIBANK
INFY
HDFCBANK
RELIANCE
TCS
BHARTIARTL
SBIN
ADANIENT
AXISBANK
TECHM
M&M
LT
KOTAKBANK
ETERNAL
BAJFINANCE
TATASTEEL
HCLTECH
BEL
TMPV
ITC
MARUTI
SUNPHARMA
ADANIPORTS
WIPRO
ULTRACEMCO
HINDALCO
POWERGRID
COALINDIA
DRREDDY
APOLLOHOSP
SHRIRAMFIN
TITAN
ONGC
EICHERMOT
TATACONSUM
NTPC
NESTLEIND
HINDUNILVR
SBILIFE
INDIGO
MAXHEALTH
JIOFIN
TRENT
CIPLA
GRASIM
ASIANPAINT
BAJAJ-AUTO
JSWSTEEL
BAJAJFINSV
HDFCLIFE
